Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2022-10-29,Block Route,"5.7+, PG13",Trad,Stone Mountain,1,150,"Lead, Redpoint",Abigail La.,"Spooky climb! Love the friction, what a fun climb"
2022-10-22,Burning Calves,5.10b,Trad,Beauty Mountain,1,70,"Lead, Redpoint",Abigail La.,"SO stoked, amazing line"
2022-10-22,Out of Mind,5.10a,Trad,Beauty Mountain,1,70,"Follow, Clean",Abigail La.,Followed Abby
2022-10-22,Rod Serling Crack,5.10b,Trad,Beauty Mountain,1,75,"Lead, Onsight",Abigail La.,Totally epic!!
2022-10-22,"Quick Robin, to the Batcrack!",5.10a,Trad,Beauty Mountain,1,80,"Lead, Onsight",Abigail La.,Nuthin' to say
2022-10-22,Happy Hands,5.9,Trad,Beauty Mountain,1,70,"Follow, Clean",Abigail La.,Followed Abby. Love the jams!!
2022-09-26,Hopscotch,5.3,Trad,Moores Central Wall,2,140,"Lead, Onsight",Abigail La.,"Led a long P1, soloed the second pitch while Abby was making her anchor. Climbed barefoot for fun"
2022-09-26,Wailing Wall,5.6,Trad,Moores Amphitheater,2,120,"Follow, Clean",Abigail La.,"followed Abby, did two pitches for communication"
2022-09-26,Zoo View,5.7+,Trad,Circus Wall,1,220,"Lead, Redpoint",Abigail La.,"Took the low traverse option, high is definitely better"
2022-09-26,Sentinel Buttress,5.5,Trad,Sentinel Buttress,3,200,"Follow, Clean",Abigail La.,Followed Abby. she ran low on gear on pitch 2 so I led a final pitch of just about 15 feet or so
2022-09-04,High Test,5.9,Trad,Seneca Rocks,3,120,"Lead, Flash",Abigail La.,"Kinda intense lead! Skipped the sickle ledge belay and regretted it, made a belay below the roof with somewhat questionable rock. Pumpy climbing, thought I was going to fall a few moves above the roof but pulled through to a stance to shake out! SO stoked to have sent this, it was right at my limit.
Abby led a short extra pitch to the south summit"
2022-09-04,Skyline Traverse,5.3,Trad,Seneca Rocks,3,250,"Follow, Clean",Abigail La.,Followed Abby on her first trad lead
2022-09-03,Banana,5.7,Trad,Seneca Rocks,1,30,"Lead, Onsight",Abigail La.,"Can confirm, it's loose as fuck and no fall territory for the last third or so. Placed a nut up high and literally felt the flake flex when I yanked to set it, so it was more of a mental piece. "
2022-09-03,Castor,5.10a,Trad,Seneca Rocks,1,80,"Lead, Fell/Hung",Abigail La.,"Flamed out and had to take where the crack widens about half way up. The opening moves were burly and unprotected, but a bomber .2 Z4/X4 can be found from a left hand pinch a couple moves off the deck."
2022-09-03,Debbie,5.6,Trad,Seneca Rocks,1,30,"Lead, Onsight",Abigail La.,"Thought this was a fun lead! Got a bomber #1 BD right before the crux, which seems to be discriminatory against shorter climbers. "
2022-09-03,Pleasant Overhangs,5.7,Trad,Seneca Rocks,3,290,"Lead, Onsight",Abigail La.,"SO sick!! Pitch 2 is an absolute romp, the exposure is wild but most holds are jugs. The gear could be a bit tricky, but it&#39;s there if you look for it"
